id,expression,variants,meaning,translation,emotion,intent,example,warning,source,updated_at
slang_0001,ㄹㅇ,리얼,정말 또는 진짜,정말,강조,강조,오늘 급식 ㄹㅇ 맛있음,문장에 따라 동의의 의미로도 쓰임,직접 구축(공개 사용례 기반),2026.7.15
slang_0002,개추,,매우 추천한다는 뜻,정말 추천할 만큼 좋음,긍정,추천,이 영화는 진짜 개추임,다소 거친 어감이 있을 수 있음,직접 구축(공개 사용례 기반),2026.7.15
slang_0003,억까,,억지로 비판하거나 깎아내림,억울하게 비판함 또는 비판받음,억울함,불평,오늘 발표에서 억까당함,장난스럽게도 사용됨,직접 구축(공개 사용례 기반),2026.7.15
slang_0004,킹받네,킹받음|킹받는다|킹받아,짜증 난다는 뜻을 과장해 표현함,조금 짜증 나지만 웃긴 상황임,장난 섞인 불만,불평,이 상황 진짜 킹받네,심각한 분노가 아닐 수 있음,직접 구축(공개 사용례 기반),2026.7.15
slang_0005,존맛,JMT,매우 맛있다는 뜻,정말 맛있음,긍정,칭찬,이 떡볶이 존맛임,거친 표현이 포함됨,직접 구축(공개 사용례 기반),2026.7.15
slang_0006,노잼,,재미가 없다는 뜻,재미가 없음,부정,평가,오늘 수업 좀 노잼이었음,사람을 직접 평가할 때는 무례할 수 있음,직접 구축(공개 사용례 기반),2026.7.15
slang_0007,꿀잼,,매우 재미있다는 뜻,정말 재미있음,긍정,평가,그 예능 완전 꿀잼임,과장 표현임,직접 구축(공개 사용례 기반),2026.7.15
slang_0008,핵노잼,,매우 재미없다는 뜻,정말 재미가 없음,강한 부정,평가,그 영화 핵노잼이었음,과장된 부정 표현임,직접 구축(공개 사용례 기반),2026.7.15
slang_0009,빡치다,빡침|빡쳐|빡치네,매우 화가 나거나 짜증 난다는 뜻,많이 화가 남,분노,불평,버스 놓쳐서 진짜 빡침,거친 표현임,직접 구축(공개 사용례 기반),2026.7.15
slang_0010,멘붕,멘탈붕괴,당황하거나 정신적으로 혼란스러운 상태,너무 당황해서 정신이 없음,당황,상태 설명,시험 범위 보고 멘붕옴,가벼운 과장으로도 사용됨,직접 구축(공개 사용례 기반),2026.7.15
slang_0011,현타,현실자각타임,갑자기 현실을 깨닫고 허무해지는 느낌,갑자기 현실이 느껴져 허무함,허무함,상태 설명,과제하다가 현타옴,우울증과 동일한 의미는 아님,직접 구축(공개 사용례 기반),2026.7.15
slang_0012,갑분싸,갑자기 분위기 싸해짐,갑자기 분위기가 어색하고 조용해짐,갑자기 분위기가 어색해짐,당황,상황 설명,그 말 한마디에 갑분싸됨,상대에게 직접 쓰면 불편할 수 있음,직접 구축(공개 사용례 기반),2026.7.15
